NCT Id,Brief Title,Official Title,Overall Status,Conditions,Interventions,Study First Post Date,Last Update Post Date,Phases,Study Type,sex,minimumAge,maximumAge
NCT04424316,A Trial to Evaluate the Efficacy and Safety of RSVpreF in Infants Born to Women Vaccinated During Pregnancy.,"A PHASE 3, RANDOMIZED, DOUBLE-BLINDED, PLACEBO-CONTROLLED TRIAL TO EVALUATE THE EFFICACY AND SAFETY OF A RESPIRATORY SYNCYTIAL VIRUS (RSV) PREFUSION F SUBUNIT VACCINE IN INFANTS BORN TO WOMEN VACCINATED DURING PREGNANCY",COMPLETED,Respiratory Tract Infection,Biological: RSVpreF|Biological: Placebo,2020-06-09,2024-03-04,PHASE3,INTERVENTIONAL,FEMALE,0 Years,49 Years
NCT03843996,Comparison of a Novel Wound Dressing Stratamed Versus Current Clinical Practice After Follicular Unit Extraction Hair Transplantation,Comparison of a Novel Wound Dressing Stratamed Versus Current Clinical Practice After Follicular Unit Extraction Hair Transplantation,COMPLETED,Wounds and Injuries,Device: Treatment - Stratamed|Device: Treatment - Stratamed,2019-02-18,2019-02-18,NA,INTERVENTIONAL,ALL,18 Years,
NCT02828358,Azacitidine and Combination Chemotherapy in Treating Infants With Acute Lymphoblastic Leukemia and KMT2A Gene Rearrangement,A Groupwide Pilot Study to Test the Tolerability and Biologic Activity of the Addition of Azacitidine (NSC# 102816) to Chemotherapy in Infants With Acute Lymphoblastic Leukemia (ALL) and KMT2A (MLL) Gene Rearrangement,ACTIVE_NOT_RECRUITING,Acute Leukemia of Ambiguous Lineage|B Acute Lymphoblastic Leukemia|Mixed Phenotype Acute Leukemia,Drug: Azacitidine,2016-07-11,2024-08-09,PHASE2,INTERVENTIONAL,ALL,,364 Days
NCT06132958,Sacituzumab Tirumotecan (MK-2870) in Post Platinum and Post Immunotherapy Endometrial Cancer (MK-2870-005),"A Phase 3, Randomized, Active-controlled, Open-label, Multicenter Study to Compare the Efficacy and Safety of MK-2870 Monotherapy Versus Treatment of Physician's Choice in Participants With Endometrial Cancer Who Have Received Prior Platinum-based Chemotherapy and Immunotherapy (MK-2870-005/ENGOT-en23/GOG-3095)",RECRUITING,Endometrial Cancer,Biological: Sacituzumab tirumotecan|Drug: Doxorubicin,2023-11-15,2024-09-19,PHASE3,INTERVENTIONAL,FEMALE,18 Years,
NCT04759586,Nivolumab in Combination With Chemo-Immunotherapy for the Treatment of Newly Diagnosed Primary Mediastinal B-Cell Lymphoma,A Randomized Phase 3 Trial of Nivolumab (NSC# 748726) in Combination With Chemo-Immunotherapy for the Treatment of Newly Diagnosed Primary Mediastinal B-Cell Lymphoma,RECRUITING,Primary Mediastinal Large B-Cell Lymphoma,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2021-02-18,2024-09-19,PHASE3,INTERVENTIONAL,ALL,2 Years,
NCT03602586,Testing Whether the Combination of Two Immunotherapy Drugs Have Activity in Recurrent or Persistent Clear Cell Ovarian Cancer,A Phase II Study of MK-3475 (Pembrolizumab) (NSC #776864) + Epacadostat (NSC #766086) in Recurrent Clear Cell Carcinoma of the Ovary,COMPLETED,Malignant Ovarian Clear Cell Tumor|Recurrent Ovarian Carcinoma,Drug: Epacadostat,2018-07-27,2024-07-26,PHASE2,INTERVENTIONAL,FEMALE,18 Years,
NCT00375063,Study of Unprotected Left Main Stenting Versus Bypass Surgery (LE MANS Study),Prospective Randomized Study of Unprotected Left Main Stenting Versus Bypass Surgery,COMPLETED,Coronary Artery Stenosis|Myocardial Revascularization|Myocardial Ischemia,,2006-09-12,2006-09-12,PHASE4,INTERVENTIONAL,ALL,18 Years,80 Years
NCT02944435,"A Comparative, Pharmacokinetic Study of CB-839 Capsule and Tablet Formulations in Healthy Adults","A Comparative, Randomized, Single-Dose, 2-Way Crossover Pharmacokinetic Comparability Study of CB-839 Administered as Capsule and Tablet Formulations in Healthy Adult Subjects",COMPLETED,Healthy Volunteers,Drug: CB-839 Capsules|Drug: CB-839 Tablets,2016-10-25,2017-01-04,PHASE1,INTERVENTIONAL,ALL,18 Years,55 Years
NCT05204927,177Lu-PSMA-I&T for Metastatic Castration-Resistant Prostate Cancer,"A Multi-Center, Open-Label, Randomized Phase 3 Trial Comparing the Safety and Efficacy of 177Lu-PSMA-I&T Versus Hormone Therapy in Patients With Metastatic Castration-Resistant Prostate Cancer",ACTIVE_NOT_RECRUITING,Metastasis From Malignant Tumor of Prostate,Drug: Abiraterone with Prednisone or Enzalutamide|Drug: 177Lu-PSMA-I&T,2022-01-24,2024-02-29,PHASE3,INTERVENTIONAL,MALE,18 Years,
NCT06063473,A Study Comparing Trifarotene Cream 0.005% to AKLIEF® Cream in the Treatment of Acne Vulgaris,"A Multi-center, Double-blind, Randomized, Placebo Controlled, Parallel-group Study, Comparing Trifarotene Cream 0.005% (Taro Pharmaceuticals U.S.A, Inc.) and to AKLIEF® Cream (Trifarotene 0.005%,Galderma) and Both Active Treatments to a Placebo Control in the Treatment of Acne Vulgaris",COMPLETED,Acne Vulgaris,"Drug: Trifarotene Cream 0.005%|Drug: AKLIEF® Cream (Trifarotene 0.005%, Galderma Laboratories)|Drug: Placebo",2023-10-02,2023-10-02,PHASE1,INTERVENTIONAL,ALL,12 Years,40 Years
NCT03678025,Standard Systemic Therapy With or Without Definitive Treatment in Treating Participants With Metastatic Prostate Cancer,Phase III Randomized Trial of Standard Systemic Therapy (SST) Versus Standard Systemic Therapy Plus Definitive Treatment (Surgery or Radiation) of the Primary Tumor in Metastatic Prostate Cancer,RECRUITING,Castration Levels of Testosterone|Metastatic Prostatic Adenocarcinoma|Stage IV Prostate Cancer AJCC v8|Stage IVA Prostate Cancer AJCC v8|Stage IVB Prostate Cancer AJCC v8,Drug: Abiraterone|Drug: Abiraterone|Drug: Abiraterone,2018-09-19,2024-08-16,PHASE3,INTERVENTIONAL,MALE,18 Years,
NCT03204916,Cancer Care Delivery in Adolescent and Young Adult Patients With Acute Lymphoblastic Leukemia,Documentation and Delivery of Guideline-Consistent Treatment in Adolescent and Young Adult (AYA) Acute Lymphoblastic Leukemia (ALL),ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia,Behavioral: Discussion,2017-07-02,2023-12-28,,OBSERVATIONAL,ALL,15 Years,39 Years
NCT00346216,Prospective Randomized Evaluation Of Celecoxib Integrated Safety Vs Ibuprofen Or Naproxen,"A Randomized, Double Blind, Parallel-group Study Of Cardiovascular Safety In Osteoarthritis Or Rheumatoid Arthritis Patients With Or At High Risk For Cardiovascular Disease Comparing Celecoxib With Naproxen And Ibuprofen",COMPLETED,"Arthritis, Rheumatoid",Drug: celecoxib|Drug: Ibuprofen|Drug: Naproxen,2006-06-29,2021-03-03,PHASE4,INTERVENTIONAL,ALL,18 Years,
NCT05253157,Change in Pain With Virtual Reality-augmented Remote Rehabilitative Care,Changes in Pain Interference and Severity After an Episode of Virtual Reality-augmented Remote Rehabilitative Care: a Pragmatic Exploratory Descriptive Trial,COMPLETED,Musculoskeletal Pain,,2022-02-23,2022-02-23,,OBSERVATIONAL,ALL,18 Years,
NCT05464069,Safety of Nerivio in Pregnant Women With Migraine,A Retrospective Controlled Survey Study to Assess the Safety of Treating Migraine With Nerivio During Pregnancy and 3 Months Postpartum,COMPLETED,Migraine|Pregnancy Related,Device: Nerivio|,2022-07-19,2022-12-13,,OBSERVATIONAL,FEMALE,18 Years,42 Years
NCT02201992,Crizotinib in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer That Has Been Removed by Surgery and ALK Fusion Mutations (An ALCHEMIST Treatment Trial),A Randomized Phase III Trial for Surgically Resected Early Stage Non-small Cell Lung Cancer: Crizotinib Versus Observation for Patients With Tumors Harboring the Anaplastic Lymphoma Kinase (ALK) Fusion Protein,RECRUITING,ALK Gene Rearrangement|ALK Gene Translocation|ALK Positive|Stage IB Non-Small Cell Lung Carcinoma AJCC v7|Stage II Non-Small Cell Lung Cancer AJCC v7|Stage IIA Non-Small Cell Lung Carcinoma AJCC v7|Stage IIB Non-Small Cell Lung Carcinoma AJCC v7|Stage IIIA Non-Small Cell Lung Cancer AJCC v7,Drug: Crizotinib|Other: Clinical Observation,2014-07-28,2024-07-03,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT04003389,A Study to Find Out How Safe Long-term Treatment With Fezolinetant is in Women With Hot Flashes Going Through Menopause,"A Randomized, Placebo-Controlled, Double-Blind Phase 3 Clinical Study to Investigate the Long-Term Safety of Fezolinetant in Women Suffering From Vasomotor Symptoms (Hot Flashes) Associated With Menopause",COMPLETED,Hot Flashes,Drug: fezolinetant|Drug: fezolinetant|Drug: placebo,2019-07-01,2023-09-21,PHASE3,INTERVENTIONAL,FEMALE,40 Years,65 Years
NCT02973789,Effect of Tumor Treating Fields (TTFields) (150 kHz) Concurrent With Standard of Care Therapies for Treatment of Stage 4 Non-small Cell Lung Cancer (NSCLC) Following Platinum Failure (LUNAR),"LUNAR: Pivotal, Randomized, Open-label Study of Tumor Treating Fields (TTFields) Concurrent With Standard of Care Therapies for Treatment of Stage 4 Non-small Cell Lung Cancer (NSCLC) Following Platinum Failure",ACTIVE_NOT_RECRUITING,Nonsmall Cell Lung Cancer|NSCLC,Device: NovoTTF-200T|Drug: Immune checkpoint inhibitors or docetaxel,2016-11-25,2024-09-26,PHASE3,INTERVENTIONAL,ALL,22 Years,
NCT01226004,Multi-Institutional Registry for Prostate Cancer Radiosurgery,Multi-Institutional Registry for Prostate Cancer Radiosurgery. An IRB Approved Observational Trial,UNKNOWN,Prostate Cancer Early Risk Treated by Radiosurgery|Prostate Cancer Intermediate Risk Treated by Radiosurgery,,2010-10-21,2019-08-06,,OBSERVATIONAL,MALE,18 Years,90 Years
NCT01632904,Randomized Switch Study From Hydroxyurea to Ruxolitinib for RELIEF of Polycythemia Vera Symptoms: The Relief Study,"Polycythemia Vera Symptom Study Evaluating Ruxolitinib Versus Hydroxyurea in a Randomized, Multicenter, Double-Blind, Double-Dummy, Phase 3 Efficacy and Safety Study of Patient Reported Outcomes",COMPLETED,Polycythemia Vera,Drug: Ruxolitinib|Drug: Hydroxyurea (HU),2012-07-03,2017-11-14,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT04032704,A Study of Ladiratuzumab Vedotin in Advanced Solid Tumors,Open-Label Phase 2 Study of Ladiratuzumab Vedotin (LV) for Unresectable Locally Advanced or Metastatic Solid Tumors,TERMINATED,"Small Cell Lung Cancer|Non-small Cell Lung Cancer, Squamous|Non-small Cell Lung Cancer, Non-squamous|Head and Neck Squamous Cell Carcinoma|Esophageal Squamous Cell Carcinoma|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Prostate Cancer|Melanoma",Drug: ladiratuzumab vedotin|Drug: ladiratuzumab vedotin|Drug: ladiratuzumab vedotin|Drug: ladiratuzumab vedotin|Drug: ladiratuzumab vedotin,2019-07-25,2024-04-17,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT05047601,A Study of a Potential Oral Treatment to Prevent COVID-19 in Adults Who Are Exposed to Household Member(s) With a Confirmed Symptomatic COVID-19 Infection,"A PHASE 2/3, RANDOMIZED, DOUBLE-BLIND, DOUBLE-DUMMY, PLACEBO CONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF 2 REGIMENS OF ORALLY ADMINISTERED PF 07321332/RITONAVIR IN PREVENTING SYMPTOMATIC SARS-COV-2 INFECTION IN ADULT HOUSEHOLD CONTACTS OF AN INDIVIDUAL WITH SYMPTOMATIC COVID-19",COMPLETED,COVID-19,Drug: PF-07321332|Drug: PF-07321332|Drug: Placebo for PF-07321332,2021-09-17,2023-05-06,PHASE2|PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT01856192,Rituximab and Combination Chemotherapy With or Without Lenalidomide in Treating Patients With Newly Diagnosed Stage II-IV Diffuse Large B Cell Lymphoma,"Randomized Phase II Open Label Study of Lenalidomide R-CHOP (R2CHOP) vs. RCHOP (Rituximab, Cyclophosphamide, Doxorubicin, Vincristine and Prednisone) in Patients With Newly Diagnosed Diffuse Large B Cell Lymphoma",ACTIVE_NOT_RECRUITING,Ann Arbor Stage II Diffuse Large B-Cell Lymphoma|Ann Arbor Stage III Diffuse Large B-Cell Lymphoma|Ann Arbor Stage IV Diffuse Large B-Cell Lymphoma,Drug: Cyclophosphamide|Drug: Cyclophosphamide,2013-05-17,2024-09-26,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT01321567,Quality of Life in New Treatable Therapy as Rabeprazole Option for Refractory Reflux Esophagitis,Quality of Life in New Treatable Therapy as Rabeprazole Option for Refractory Reflux Esophagitis,COMPLETED,Refractory Reflux Esophagitis,Drug: rabeprazole sodium,2011-03-23,2023-07-24,,OBSERVATIONAL,ALL,18 Years,
NCT01105767,Methicillin-resistant Staphylococcus Aureus (MRSA) Skin and Soft Tissue Infection (SSTI) Prevention in Military Trainees,Evaluating Strategies to Prevent Methicillin-resistant Staphylococcus Aureus Skin and Soft Tissue Infections in Military Trainees,COMPLETED,Staphylococcus Aureus|MRSA Skin Infections|Staphylococcal Skin Infections,"|Other: Supplemental training, education and hygiene|Drug: Chlorhexidine gluconate",2010-04-16,2023-02-03,NA,INTERVENTIONAL,MALE,18 Years,42 Years
NCT02176967,Response and Biology-Based Risk Factor-Guided Therapy in Treating Younger Patients With Non-high Risk Neuroblastoma,Utilizing Response- and Biology-Based Risk Factors to Guide Therapy in Patients With Non-High-Risk Neuroblastoma,ACTIVE_NOT_RECRUITING,Ganglioneuroblastoma|Localized Resectable Neuroblastoma|Localized Unresectable Neuroblastoma|Neuroblastoma,Other: Clinical Observation|Procedure: Biopsy|Procedure: Biopsy,2014-06-27,2024-09-23,PHASE3,INTERVENTIONAL,ALL,,18 Months
NCT01694667,Omega-3 Fatty Acids for Hyperactivity Treatment in Autism Spectrum Disorder,Effectiveness of Omega-3 Fatty Acids for the Reduction of Hyperactivity in Children With Autism Spectrum Disorder,COMPLETED,Autism Spectrum Disorders|Hyperactivity,Drug: Omega-3 Fatty Acids|Other: Placebo,2012-09-27,2020-08-31,PHASE2,INTERVENTIONAL,ALL,5 Years,8 Years
NCT02339740,Tretinoin and Arsenic Trioxide in Treating Patients With Untreated Acute Promyelocytic Leukemia,A Phase III Study for Patients With Newly Diagnosed Acute Promyelocytic Leukemia (APL) Using Arsenic Trioxide and All-Trans Retinoic Acid,ACTIVE_NOT_RECRUITING,Acute Promyelocytic Leukemia With t(15;17)(q24.1;q21.2); PML-RARA,Drug: Arsenic Trioxide,2015-01-15,2023-11-22,PHASE3,INTERVENTIONAL,ALL,12 Months,21 Years
NCT00379340,Combination Chemotherapy With or Without Radiation Therapy in Treating Young Patients With Newly Diagnosed Stage III or Stage IV Wilms' Tumor,Treatment of Newly Diagnosed Higher Risk Favorable Histology Wilms Tumors,ACTIVE_NOT_RECRUITING,Stage III Kidney Wilms Tumor|Stage IV Kidney Wilms Tumor,Radiation: 3-Dimensional Conformal Radiation Therapy,2006-09-21,2024-04-16,PHASE3,INTERVENTIONAL,ALL,,29 Years
NCT02402244,Project: Every Child for Younger Patients With Cancer,"The Project: EveryChild Protocol: A Registry, Eligibility Screening, Biology and Outcome Study",RECRUITING,Adrenal Gland Pheochromocytoma|Carcinoma In Situ|Central Nervous System Neoplasm|Childhood Immature Teratoma|Childhood Langerhans Cell Histiocytosis|Childhood Mature Teratoma|Congenital Mesoblastic Nephroma|Desmoid Fibromatosis|Ganglioneuroma|Lymphoproliferative Disorder|Malignant Neoplasm|Malignant Solid Neoplasm|Melanocytic Neoplasm|Myeloproliferative Neoplasm|Neoplasm of Uncertain Malignant Potential|Neuroendocrine Neoplasm|Stromal Neoplasm,Other: Cytology Specimen Collection Procedure,2015-03-30,2024-07-25,,OBSERVATIONAL,ALL,,25 Years
NCT02595944,Nivolumab After Surgery and Chemotherapy in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer (An ALCHEMIST Treatment Trial),Adjuvant Nivolumab in Resected Lung Cancers (ANVIL)-A Randomized Phase III Study of Nivolumab After Surgical Resection and Adjuvant Chemotherapy in Non-Small Cell Lung Cancers,ACTIVE_NOT_RECRUITING,Stage IB Lung Non-Small Cell Carcinoma AJCC v7|Stage II Lung Non-Small Cell Cancer AJCC v7|Stage IIIA Lung Non-Small Cell Cancer AJCC v7,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2015-11-04,2024-09-26,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT01975389,The Evaluation of Bococizumab (PF-04950615; RN316) in Reducing the Occurrence of Major Cardiovascular Events in High Risk Subjects,"Phase 3 Multi Center, Double Blind, Randomized, Placebo Controlled, Parallel Group Evaluation Of The Efficacy, Safety, And Tolerability Of Bococizumab (Pf-04950615), In Reducing The Occurrence Of Major Cardiovascular Events In High Risk Subjects",TERMINATED,Cardiovascular Disease,Drug: bococizumab (PF-04950615)|Drug: Placebo,2013-11-03,2019-05-01,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT04148729,USG Guided ESP Block in Spinal Surgery,Effect of USG Guided ESP Block in Spinal Surgery,COMPLETED,Postoperative Pain,Drug: ESP block|Drug: Control Group,2019-11-01,2022-06-22,PHASE4,INTERVENTIONAL,ALL,18 Years,65 Years
NCT05705401,Testing Radiation and HER2-targeted Therapy Versus HER2-targeted Therapy Alone for Low-risk HER2-positive Breast Cancer,A Phase III Randomized Trial of Radiotherapy Optimization for Low-Risk HER2-Positive Breast Cancer (HERO),RECRUITING,HER2-positive Breast Cancer,Radiation: Standard of Care Adjuvant Breast Radiation|Drug: Standard of Care HER2-targeted Therapy Without Adjuvant Breast Radiation,2023-01-30,2024-09-04,PHASE3,INTERVENTIONAL,ALL,40 Years,
NCT00567567,Comparing Two Different Myeloablation Therapies in Treating Young Patients Who Are Undergoing a Stem Cell Transplant for High-Risk Neuroblastoma,Phase III Randomized Trial of Single vs. Tandem Myeloablative Consolidation Therapy for High-Risk Neuroblastoma,COMPLETED,Localized Resectable Neuroblastoma|Localized Unresectable Neuroblastoma|Recurrent Neuroblastoma|Regional Neuroblastoma|Stage 4 Neuroblastoma|Stage 4S Neuroblastoma,Procedure: Autologous Hematopoietic Stem Cell Transplantation|Procedure: Autologous Hematopoietic Stem Cell Transplantation,2007-12-05,2022-04-28,PHASE3,INTERVENTIONAL,ALL,,30 Years
NCT05567601,Doxil/Caelyx BE Study,"A Randomized, Multi-center, Cross-over, Comparative Bioavailability Study of DOXIL/CAELYX Manufactured at a New Site in Patients With Advanced or Refractory Ovarian or Breast Cancer",COMPLETED,Ovarian Cancer|AIDS-related Kaposi Sarcoma|Multiple Myeloma|Metastatic Breast Cancer,Drug: DOXIL/CAELYX|Drug: DOXIL/CAELYX,2022-10-05,2024-07-25,PHASE1,INTERVENTIONAL,ALL,18 Years,75 Years
NCT01371981,Bortezomib and Sorafenib Tosylate in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia,"A Phase III Randomized Trial for Patients With De Novo AML Using Bortezomib and Sorafenib (NSC# 681239, NSC# 724772) for Patients With High Allelic Ratio FLT3/ITD",ACTIVE_NOT_RECRUITING,Acute Myeloid Leukemia|Leukemia Cutis|Myeloid Neoplasm|Myeloid Sarcoma,Drug: Asparaginase|Drug: Asparaginase|Drug: Asparaginase|Drug: Asparaginase|Drug: Asparaginase|Drug: Cytarabine,2011-06-13,2024-08-09,PHASE3,INTERVENTIONAL,ALL,,29 Years
NCT02224781,Dabrafenib and Trametinib Followed by Ipilimumab and Nivolumab or Ipilimumab and Nivolumab Followed by Dabrafenib and Trametinib in Treating Patients With Stage III-IV BRAFV600 Melanoma,"DREAMseq (Doublet, Randomized Evaluation in Advanced Melanoma Sequencing) a Phase III Trial",ACTIVE_NOT_RECRUITING,Clinical Stage III Cutaneous Melanoma AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Metastatic Melanoma|Recurrent Melanoma|Unresectable Melanoma,Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection|Procedure: Biospecimen Collection,2014-08-25,2024-09-26,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT05568472,"Monitoring Symptoms to Help Young Women Take Hormone Therapy for Stage I-III Breast Cancer, ASPEN Study",A Randomized Phase III Trial Comparing Active Symptom Monitoring Plus Patient Education Versus Patient Education Alone to Improve Persistence With Endocrine Therapy in Young Women With Stage I-III Breast Cancer (ASPEN),RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Hormone Receptor-Positive Breast Carcinoma,Other: Best Practice|Other: Best Practice,2022-10-05,2023-11-13,NA,INTERVENTIONAL,FEMALE,18 Years,
NCT01886872,"Rituximab and Bendamustine Hydrochloride, Rituximab and Ibrutinib, or Ibrutinib Alone in Treating Older Patients With Previously Untreated Chronic Lymphocytic Leukemia",A Randomized Phase III Study of Bendamustine Plus Rituximab Versus Ibrutinib Plus Rituximab Versus Ibrutinib Alone in Untreated Older Patients (&gt;/= 65 Years of Age) With Chronic Lymphocytic Leukemia (CLL),ACTIVE_NOT_RECRUITING,Stage I Chronic Lymphocytic Leukemia|Stage II Chronic Lymphocytic Leukemia|Stage III Chronic Lymphocytic Leukemia|Stage IV Chronic Lymphocytic Leukemia,Drug: Bendamustine Hydrochloride|Drug: Ibrutinib|Drug: Ibrutinib,2013-06-26,2024-09-26,PHASE3,INTERVENTIONAL,ALL,65 Years,
NCT03864692,Prediction of Hypotension Using Perfusion Index and Pleth Variability Index After Spinal Anesthesia for C/S,Prediction of Hypotension Using Perfusion Index and Pleth Variability Index After Spinal Anesthesia for Caesarean Section,COMPLETED,Cesarean Section Complications|Hypotension|Spinal Anesthesia|Perfusion Index|Pleth Variability Index,|,2019-03-06,2019-06-18,,OBSERVATIONAL,FEMALE,18 Years,40 Years
NCT03581292,"Veliparib, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Malignant Glioma Without H3 K27M or BRAFV600 Mutations","A Phase 2 Study of Veliparib (ABT-888) and Local Irradiation, Followed by Maintenance Veliparib and Temozolomide, in Patients With Newly Diagnosed High-Grade Glioma (HGG) Without H3 K27M or BRAFV600 Mutations",ACTIVE_NOT_RECRUITING,Anaplastic Astrocytoma|Glioblastoma|Malignant Glioma,Radiation: Radiation Therapy,2018-07-10,2024-08-09,PHASE2,INTERVENTIONAL,ALL,3 Years,25 Years
NCT00746395,"Randomized, Placebo-controlled Trial of Lubiprostone as a Preparation for Capsule Endoscopy","Randomized, Placebo-controlled Trial of Lubiprostone as a Preparation for Capsule Endoscopy",COMPLETED,Inflammatory Bowel Disease,Drug: Lubiprostone|Drug: Placebo,2008-09-04,2020-10-08,PHASE4,INTERVENTIONAL,ALL,19 Years,90 Years
NCT05799495,A Study to Understand the Effect and Safety of the Study Medicine PF-07817883 in Adults Who Have Symptoms of COVID-19 But Are Not Hospitalized,"A PHASE 2B, DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED, PARALLEL GROUP, DOSE RANGING STUDY TO EVALUATE VIROLOGICAL RESPONSE AND SAFETY OF ORAL PF-07817883 IN NON-HOSPITALIZED SYMPTOMATIC ADULT PARTICIPANTS WITH COVID-19",COMPLETED,SARS-CoV-2 Infection,Drug: PF-07817883|Drug: PF-07817883|Drug: PF-07817883|Drug: Placebo,2023-04-05,2024-01-05,PHASE2,INTERVENTIONAL,ALL,18 Years,64 Years
NCT02629172,Drug Use-results Survey in Patients Infected With Hepatitis C Virus Genotype 1,Drug Use Results Survey in Patients Infected With Hepatitis C Virus Genotype 1,COMPLETED,Chronic Hepatitis C Virus,,2015-12-14,2020-02-24,,OBSERVATIONAL,ALL,,120 Years
NCT03304639,Testing the Addition of Radiation Therapy to Immunotherapy for Merkel Cell Carcinoma,A Randomized Phase II Study of Anti-PD1 Antibody [MK-3475 (Pembrolizumab)] Alone Versus Anti-PD1 Antibody Plus Stereotactic Body Radiation Therapy in Advanced Merkel Cell Carcinoma,ACTIVE_NOT_RECRUITING,Advanced Merkel Cell Carcinoma|Clinical Stage III Cutaneous Merkel Cell Carcinoma AJCC v8|Clinical Stage IV Cutaneous Merkel Cell Carcinoma AJCC v8|Metastatic Merkel Cell Carcinoma|Pathologic Stage III Cutaneous Merkel Cell Carcinoma AJCC v8|Pathologic Stage IIIA Cutaneous Merkel Cell Carcinoma AJCC v8|Pathologic Stage IIIB Cutaneous Merkel Cell Carcinoma AJCC v8|Pathologic Stage IV Cutaneous Merkel Cell Carcinoma AJCC v8,Biological: Pembrolizumab|Biological: Pembrolizumab,2017-10-09,2024-07-30,PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT02641639,FOCUS: PCC + Bevacizumab + CA4P Versus PCC + Bevacizumab + Placebo for Subjects With Platinum Resistant Ovarian Cancer,"FOCUS: A Multicenter, Multinational, Double-Blind, 2-Arm, Randomized, Phase 2/3, Study of Physician's Choice Chemotherapy ([PCC] Weekly Paclitaxel or Pegylated Liposomal Doxorubicin [PLD]) Plus Bevacizumab and CA4P Versus PCC Plus Bevacizumab and Placebo for Subjects With Platinum-Resistant, Recurrent Epithelial Ovarian, Primary Peritoneal or Fallopian Tube Cancer",TERMINATED,Platinum Resistant Ovarian Cancer,Drug: Fosbretabulin tromethamine|Drug: Placebo,2015-12-29,2018-03-22,PHASE2|PHASE3,INTERVENTIONAL,FEMALE,18 Years,
NCT05243563,Does Steroid Plus CO2 Laser Improve Lichen Sclerosus Symptoms Compared to Steroids Alone?,"A Randomized, Unblinded Trial of Topical Steroids Plus CO2 Laser Compared to Steroids Alone in the Treatment of Vulvovaginal Lichen Sclerosus",TERMINATED,Vulvar Lichen Sclerosus,Device: MonaLisa Touch|Drug: Topical steroid,2022-02-17,2024-09-23,PHASE2|PHASE3,INTERVENTIONAL,FEMALE,18 Years,85 Years
NCT03314935,A Phase 1/2 Study of INCB001158 in Combination With Chemotherapy in Subjects With Solid Tumors,"A Phase 1/2 Study to Evaluate the Safety, Tolerability, and Efficacy of INCB001158 in Combination With Chemotherapy, in Subjects With Advanced or Metastatic Solid Tumors",COMPLETED,Biliary Tract Cancer (BTC)|Colorectal Cancer (CRC)|Endometrial Cancer|Gastroesophageal Cancer (GC)|Ovarian Cancer|Solid Tumors,Drug: INCB001158|Drug: INCB001158|Drug: INCB001158,2017-10-19,2023-12-07,PHASE1|PHASE2,INTERVENTIONAL,ALL,18 Years,
NCT02364557,Testing Whether Treating Breast Cancer Metastases With Surgery or High-Dose Radiation Improves Survival,A Phase IIR/III Trial of Standard of Care Therapy With or Without Stereotactic Body Radiotherapy (SBRT) and/or Surgical Ablation for Newly Oligometastatic Breast Cancer,ACTIVE_NOT_RECRUITING,Anatomic Stage IV Breast Cancer American Joint Committee on Cancer (AJCC) v8|Metastatic Breast Carcinoma|Metastatic Malignant Neoplasm in the Bone|Metastatic Malignant Neoplasm in the Liver|Metastatic Malignant Neoplasm in the Lung|Metastatic Malignant Neoplasm in the Lymph Nodes|Metastatic Malignant Neoplasm in the Spine|Prognostic Stage IV Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8,|Radiation: Stereotactic Body Radiotherapy,2015-02-18,2024-01-11,PHASE2|PHASE3,INTERVENTIONAL,FEMALE,18 Years,
